ElfFairy Type,Cause of Malice,Motif Type,Ritual Object Type,Case Notes,Folk Notes
Fairy Blast,NA,Three,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Prayer,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Prayer,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,Social slight,Prayer,Stones,NA,"Mention of her cat always being around a sick child, when they killed the cat the child recovered.  Someone found half burnt thorns at her heathstone.  Tait asked for a bannock and then asked for more and was refused because the woman didn't want to give her more than one thing at a time so as to prevent the 'witch' from having power over her."
